iteration,mean_dist_to_failed,mean_dist_to_unconv,mean_delta_failed_minus_unconv,prop_closer_to_failed,prop_closer_to_unconv
0,24.10998,23.599596,0.5103833,0.2857142857142857,0.7142857142857143
1,26.342436,25.942038,0.40039662,0.2857142857142857,0.7142857142857143
2,24.825,24.854788,-0.029788153,0.2857142857142857,0.7142857142857143
3,24.932377,26.181898,-1.2495174,1.0,0.0
4,28.146976,24.245747,3.9012294,0.0,1.0
5,24.86829,26.275713,-1.4074222,1.0,0.0
6,25.70995,24.354599,1.3553503,0.0,1.0
7,26.073427,26.298685,-0.22525951,0.5714285714285714,0.42857142857142855
8,26.783178,25.253134,1.5300467,0.0,1.0
9,28.611328,25.501047,3.1102796,0.0,1.0
10,26.896587,25.317953,1.5786334,0.0,1.0
11,26.913193,25.403452,1.509743,0.0,1.0
12,25.590368,25.49078,0.09958894,0.42857142857142855,0.5714285714285714
13,25.132086,25.746578,-0.61449105,0.7142857142857143,0.2857142857142857
14,25.72543,26.259493,-0.5340606,0.8571428571428571,0.14285714285714285
15,24.917917,25.106726,-0.18881062,0.42857142857142855,0.5714285714285714
16,25.746706,25.16888,0.57782745,0.2857142857142857,0.7142857142857143
17,25.594378,23.88203,1.7123489,0.0,1.0
18,25.893164,26.542364,-0.6491996,0.8571428571428571,0.14285714285714285
19,26.659544,23.982388,2.6771545,0.0,1.0
20,24.92892,23.966125,0.96279687,0.0,1.0
21,25.941376,24.209158,1.7322159,0.0,1.0
22,25.684332,25.02432,0.66001374,0.14285714285714285,0.8571428571428571
23,24.762827,24.270798,0.49202648,0.42857142857142855,0.5714285714285714
24,25.557545,23.605228,1.9523171,0.0,1.0
25,27.793888,25.672512,2.1213765,0.0,1.0
26,24.730743,24.647268,0.083469935,0.14285714285714285,0.8571428571428571
27,25.599148,27.239918,-1.6407716,1.0,0.0
28,26.533817,23.692457,2.84136,0.0,1.0
29,25.473547,25.264162,0.20938492,0.5714285714285714,0.42857142857142855
30,26.303305,25.158606,1.1446985,0.0,1.0
31,25.986326,24.551342,1.4349842,0.14285714285714285,0.8571428571428571
32,26.851828,24.250963,2.600867,0.0,1.0
33,26.078905,25.651403,0.4275003,0.14285714285714285,0.8571428571428571
34,24.90538,23.169725,1.7356529,0.0,1.0
35,27.961748,23.294538,4.66721,0.0,1.0
36,26.072033,24.750824,1.3212079,0.0,1.0
37,24.81837,26.400883,-1.5825111,1.0,0.0
38,25.360384,23.99616,1.3642254,0.0,1.0
39,25.738728,25.456196,0.28253284,0.42857142857142855,0.5714285714285714
40,26.682186,24.169758,2.5124261,0.0,1.0
41,24.46578,24.047546,0.41823578,0.2857142857142857,0.7142857142857143
42,25.197462,23.53251,1.6649503,0.0,1.0
43,25.905893,24.777956,1.1279354,0.0,1.0
44,24.200836,23.810743,0.39009094,0.14285714285714285,0.8571428571428571
45,24.923727,23.945324,0.9784036,0.2857142857142857,0.7142857142857143
46,24.405945,24.075026,0.33092064,0.2857142857142857,0.7142857142857143
47,25.223192,24.960352,0.26284164,0.42857142857142855,0.5714285714285714
48,25.231756,23.923155,1.3086027,0.0,1.0
49,25.21042,24.550825,0.65959656,0.2857142857142857,0.7142857142857143
50,25.272038,23.728014,1.5440235,0.0,1.0
51,25.711035,24.869322,0.8417119,0.0,1.0
52,24.924458,27.325068,-2.4006088,1.0,0.0
53,25.806833,25.318176,0.4886562,0.2857142857142857,0.7142857142857143
54,25.145267,25.08885,0.056419916,0.5714285714285714,0.42857142857142855
55,25.608166,24.649336,0.9588277,0.2857142857142857,0.7142857142857143
56,24.507322,25.094105,-0.58678216,1.0,0.0
57,24.959064,23.987692,0.9713726,0.14285714285714285,0.8571428571428571
58,29.795147,24.236532,5.5586123,0.0,1.0
59,25.86049,24.1472,1.7132944,0.0,1.0
60,25.348621,26.263166,-0.91454095,1.0,0.0
61,24.067398,23.918797,0.1485988,0.42857142857142855,0.5714285714285714
62,24.574924,24.49031,0.08461162,0.5714285714285714,0.42857142857142855
63,25.29448,24.108719,1.1857622,0.0,1.0
64,24.743189,25.554415,-0.8112262,0.7142857142857143,0.2857142857142857
65,25.880644,24.51915,1.3614922,0.0,1.0
66,26.413807,24.818087,1.5957192,0.0,1.0
67,26.124826,25.217405,0.90742165,0.14285714285714285,0.8571428571428571
68,24.360966,24.212784,0.14818247,0.5714285714285714,0.42857142857142855
69,24.752289,23.216963,1.5353252,0.0,1.0
70,25.581911,24.488539,1.0933737,0.14285714285714285,0.8571428571428571
71,25.255697,26.22313,-0.967432,1.0,0.0
72,26.464443,25.648478,0.8159643,0.14285714285714285,0.8571428571428571
73,24.961622,24.824507,0.13711466,0.42857142857142855,0.5714285714285714
74,25.740751,24.851683,0.8890702,0.0,1.0
75,26.093042,24.63673,1.4563122,0.0,1.0
76,25.03149,25.501587,-0.47009686,0.8571428571428571,0.14285714285714285
77,25.007935,25.477945,-0.47001103,0.8571428571428571,0.14285714285714285
78,24.639177,25.064688,-0.42551178,0.7142857142857143,0.2857142857142857
79,25.05666,24.758219,0.29844174,0.14285714285714285,0.8571428571428571
