group,path,status
stylized,C:\Users\maryc\Downloads\881project\stylishedrobot\cb2.png,no_face
stylized,C:\Users\maryc\Downloads\881project\stylishedrobot\furhat.png,no_face
stylized,C:\Users\maryc\Downloads\881project\stylishedrobot\seer.png,no_face
stylized,C:\Users\maryc\Downloads\881project\stylishedrobot\waseda flutist.png,no_face
stylized,C:\Users\maryc\Downloads\881project\stylishedrobot\zeno.png,no_face
human,C:\Users\maryc\Downloads\881project\humans_ffhq\human_1.png,no_face
human,C:\Users\maryc\Downloads\881project\humans_ffhq\human_100.png,no_face
human,C:\Users\maryc\Downloads\881project\humans_ffhq\human_104.png,no_face
human,C:\Users\maryc\Downloads\881project\humans_ffhq\human_105.png,no_face
human,C:\Users\maryc\Downloads\881project\humans_ffhq\human_106.png,no_face
human,C:\Users\maryc\Downloads\881project\humans_ffhq\human_107.png,no_face
human,C:\Users\maryc\Downloads\881project\humans_ffhq\human_108.png,no_face
human,C:\Users\maryc\Downloads\881project\humans_ffhq\human_11.png,no_face
human,C:\Users\maryc\Downloads\881project\humans_ffhq\human_110.png,no_face
human,C:\Users\maryc\Downloads\881project\humans_ffhq\human_111.png,no_face
human,C:\Users\maryc\Downloads\881project\humans_ffhq\human_112.png,no_face
human,C:\Users\maryc\Downloads\881project\humans_ffhq\human_113.png,no_face
human,C:\Users\maryc\Downloads\881project\humans_ffhq\human_117.png,no_face
human,C:\Users\maryc\Downloads\881project\humans_ffhq\human_118.png,no_face
human,C:\Users\maryc\Downloads\881project\humans_ffhq\human_119.png,no_face
human,C:\Users\maryc\Downloads\881project\humans_ffhq\human_120.png,no_face
human,C:\Users\maryc\Downloads\881project\humans_ffhq\human_121.png,no_face
human,C:\Users\maryc\Downloads\881project\humans_ffhq\human_122.png,no_face
human,C:\Users\maryc\Downloads\881project\humans_ffhq\human_123.png,no_face
human,C:\Users\maryc\Downloads\881project\humans_ffhq\human_124.png,no_face
human,C:\Users\maryc\Downloads\881project\humans_ffhq\human_126.png,no_face
human,C:\Users\maryc\Downloads\881project\humans_ffhq\human_127.png,no_face
human,C:\Users\maryc\Downloads\881project\humans_ffhq\human_128.png,no_face
human,C:\Users\maryc\Downloads\881project\humans_ffhq\human_129.png,no_face
human,C:\Users\maryc\Downloads\881project\humans_ffhq\human_130.png,no_face
human,C:\Users\maryc\Downloads\881project\humans_ffhq\human_132.png,no_face
human,C:\Users\maryc\Downloads\881project\humans_ffhq\human_133.png,no_face
human,C:\Users\maryc\Downloads\881project\humans_ffhq\human_134.png,no_face
human,C:\Users\maryc\Downloads\881project\humans_ffhq\human_138.png,no_face
human,C:\Users\maryc\Downloads\881project\humans_ffhq\human_140.png,no_face
human,C:\Users\maryc\Downloads\881project\humans_ffhq\human_142.png,no_face
human,C:\Users\maryc\Downloads\881project\humans_ffhq\human_143.png,no_face
human,C:\Users\maryc\Downloads\881project\humans_ffhq\human_144.png,no_face
human,C:\Users\maryc\Downloads\881project\humans_ffhq\human_145.png,no_face
human,C:\Users\maryc\Downloads\881project\humans_ffhq\human_147.png,no_face
human,C:\Users\maryc\Downloads\881project\humans_ffhq\human_15.png,no_face
human,C:\Users\maryc\Downloads\881project\humans_ffhq\human_151.png,no_face
human,C:\Users\maryc\Downloads\881project\humans_ffhq\human_152.png,no_face
human,C:\Users\maryc\Downloads\881project\humans_ffhq\human_153.png,no_face
human,C:\Users\maryc\Downloads\881project\humans_ffhq\human_154.png,no_face
human,C:\Users\maryc\Downloads\881project\humans_ffhq\human_156.png,no_face
human,C:\Users\maryc\Downloads\881project\humans_ffhq\human_158.png,no_face
human,C:\Users\maryc\Downloads\881project\humans_ffhq\human_159.png,no_face
human,C:\Users\maryc\Downloads\881project\humans_ffhq\human_16.png,no_face
human,C:\Users\maryc\Downloads\881project\humans_ffhq\human_160.png,no_face
human,C:\Users\maryc\Downloads\881project\humans_ffhq\human_164.png,no_face
human,C:\Users\maryc\Downloads\881project\humans_ffhq\human_165.png,no_face
human,C:\Users\maryc\Downloads\881project\humans_ffhq\human_166.png,no_face
human,C:\Users\maryc\Downloads\881project\humans_ffhq\human_167.png,no_face
human,C:\Users\maryc\Downloads\881project\humans_ffhq\human_17.png,no_face
human,C:\Users\maryc\Downloads\881project\humans_ffhq\human_170.png,no_face
human,C:\Users\maryc\Downloads\881project\humans_ffhq\human_174.png,no_face
human,C:\Users\maryc\Downloads\881project\humans_ffhq\human_176.png,no_face
human,C:\Users\maryc\Downloads\881project\humans_ffhq\human_177.png,no_face
human,C:\Users\maryc\Downloads\881project\humans_ffhq\human_179.png,no_face
human,C:\Users\maryc\Downloads\881project\humans_ffhq\human_18.png,no_face
human,C:\Users\maryc\Downloads\881project\humans_ffhq\human_180.png,no_face
human,C:\Users\maryc\Downloads\881project\humans_ffhq\human_181.png,no_face
human,C:\Users\maryc\Downloads\881project\humans_ffhq\human_182.png,no_face
human,C:\Users\maryc\Downloads\881project\humans_ffhq\human_183.png,no_face
human,C:\Users\maryc\Downloads\881project\humans_ffhq\human_184.png,no_face
human,C:\Users\maryc\Downloads\881project\humans_ffhq\human_185.png,no_face
human,C:\Users\maryc\Downloads\881project\humans_ffhq\human_186.png,no_face
human,C:\Users\maryc\Downloads\881project\humans_ffhq\human_189.png,no_face
human,C:\Users\maryc\Downloads\881project\humans_ffhq\human_19.png,no_face
human,C:\Users\maryc\Downloads\881project\humans_ffhq\human_190.png,no_face
human,C:\Users\maryc\Downloads\881project\humans_ffhq\human_191.png,no_face
human,C:\Users\maryc\Downloads\881project\humans_ffhq\human_192.png,no_face
human,C:\Users\maryc\Downloads\881project\humans_ffhq\human_194.png,no_face
human,C:\Users\maryc\Downloads\881project\humans_ffhq\human_196.png,no_face
human,C:\Users\maryc\Downloads\881project\humans_ffhq\human_197.png,no_face
human,C:\Users\maryc\Downloads\881project\humans_ffhq\human_198.png,no_face
human,C:\Users\maryc\Downloads\881project\humans_ffhq\human_201.png,no_face
human,C:\Users\maryc\Downloads\881project\humans_ffhq\human_203.png,no_face
human,C:\Users\maryc\Downloads\881project\humans_ffhq\human_204.png,no_face
human,C:\Users\maryc\Downloads\881project\humans_ffhq\human_205.png,no_face
human,C:\Users\maryc\Downloads\881project\humans_ffhq\human_207.png,no_face
human,C:\Users\maryc\Downloads\881project\humans_ffhq\human_209.png,no_face
human,C:\Users\maryc\Downloads\881project\humans_ffhq\human_21.png,no_face
human,C:\Users\maryc\Downloads\881project\humans_ffhq\human_212.png,no_face
human,C:\Users\maryc\Downloads\881project\humans_ffhq\human_213.png,no_face
human,C:\Users\maryc\Downloads\881project\humans_ffhq\human_214.png,no_face
human,C:\Users\maryc\Downloads\881project\humans_ffhq\human_215.png,no_face
