failed_path,dist_to_conventional_centroid,dist_to_unconventional_centroid,delta_conv_minus_unconv,centroid_closer_to,nearest_group,iteration
C:\Users\maryc\Downloads\881project\uncannyrobot\bina48.png,24.864246,24.646612,0.2176342,human_unconventional,human_conventional,0
C:\Users\maryc\Downloads\881project\uncannyrobot\nadine.png,23.17272,24.670681,-1.497961,human_conventional,human_conventional,0
C:\Users\maryc\Downloads\881project\uncannyrobot\kodomoroid.jpg,24.660048,26.430298,-1.7702503,human_conventional,human_conventional,0
C:\Users\maryc\Downloads\881project\uncannyrobot\jiajia.png,22.908638,23.827776,-0.91913795,human_conventional,human_conventional,0
C:\Users\maryc\Downloads\881project\uncannyrobot\jiajia.png,22.908638,23.827776,-0.91913795,human_conventional,human_conventional,0
C:\Users\maryc\Downloads\881project\uncannyrobot\otonaroid.jpg,24.270098,24.968197,-0.69809914,human_conventional,human_conventional,0
C:\Users\maryc\Downloads\881project\uncannyrobot\bina48.png,24.864246,24.646612,0.2176342,human_unconventional,human_conventional,0
C:\Users\maryc\Downloads\881project\uncannyrobot\kaspar.jpg,32.876236,31.72633,1.1499062,human_unconventional,human_unconventional,1
C:\Users\maryc\Downloads\881project\uncannyrobot\jiajia.png,21.99173,24.101273,-2.1095428,human_conventional,human_conventional,1
C:\Users\maryc\Downloads\881project\uncannyrobot\jiajia.png,21.99173,24.101273,-2.1095428,human_conventional,human_conventional,1
C:\Users\maryc\Downloads\881project\uncannyrobot\geminoid H1-4.jpg,23.195618,24.364216,-1.1685982,human_conventional,human_conventional,1
C:\Users\maryc\Downloads\881project\uncannyrobot\bina48.png,23.650896,25.768637,-2.1177406,human_conventional,human_conventional,1
C:\Users\maryc\Downloads\881project\uncannyrobot\kaspar.jpg,32.876236,31.72633,1.1499062,human_unconventional,human_unconventional,1
C:\Users\maryc\Downloads\881project\uncannyrobot\otonaroid.jpg,25.170395,25.05132,0.119075775,human_unconventional,human_conventional,1
C:\Users\maryc\Downloads\881project\uncannyrobot\kaspar.jpg,32.08162,32.790287,-0.70866776,human_conventional,human_conventional,2
C:\Users\maryc\Downloads\881project\uncannyrobot\erica.jpg,26.008514,25.641895,0.3666191,human_unconventional,human_conventional,2
C:\Users\maryc\Downloads\881project\uncannyrobot\nadine.png,23.260023,23.922972,-0.6629486,human_conventional,human_conventional,2
C:\Users\maryc\Downloads\881project\uncannyrobot\kodomoroid.jpg,24.71137,25.700144,-0.98877335,human_conventional,human_conventional,2
C:\Users\maryc\Downloads\881project\uncannyrobot\sophia.png,22.227095,22.547935,-0.32084084,human_conventional,human_conventional,2
C:\Users\maryc\Downloads\881project\uncannyrobot\nadine.png,23.260023,23.922972,-0.6629486,human_conventional,human_conventional,2
C:\Users\maryc\Downloads\881project\uncannyrobot\han.png,23.82508,24.821638,-0.99655724,human_conventional,human_conventional,2
C:\Users\maryc\Downloads\881project\uncannyrobot\kodomoroid.jpg,25.191002,26.731827,-1.5408249,human_conventional,human_conventional,3
C:\Users\maryc\Downloads\881project\uncannyrobot\nadine.png,23.611782,25.10254,-1.490757,human_conventional,human_conventional,3
C:\Users\maryc\Downloads\881project\uncannyrobot\bina48.png,24.687632,25.47164,-0.784008,human_conventional,human_conventional,3
C:\Users\maryc\Downloads\881project\uncannyrobot\han.png,24.378984,25.593445,-1.2144604,human_conventional,human_unconventional,3
C:\Users\maryc\Downloads\881project\uncannyrobot\nadine.png,23.611782,25.10254,-1.490757,human_conventional,human_conventional,3
C:\Users\maryc\Downloads\881project\uncannyrobot\otonaroid.jpg,23.979555,24.747808,-0.7682533,human_conventional,human_conventional,3
C:\Users\maryc\Downloads\881project\uncannyrobot\jiajia.png,22.960659,24.649939,-1.6892796,human_conventional,human_conventional,3
C:\Users\maryc\Downloads\881project\uncannyrobot\kaspar.jpg,33.800148,32.173668,1.6264801,human_unconventional,human_unconventional,4
C:\Users\maryc\Downloads\881project\uncannyrobot\jiajia.png,22.84379,23.040483,-0.19669342,human_conventional,human_unconventional,4
C:\Users\maryc\Downloads\881project\uncannyrobot\kaspar.jpg,33.800148,32.173668,1.6264801,human_unconventional,human_unconventional,4
C:\Users\maryc\Downloads\881project\uncannyrobot\kaspar.jpg,33.800148,32.173668,1.6264801,human_unconventional,human_unconventional,4
C:\Users\maryc\Downloads\881project\uncannyrobot\bina48.png,25.224192,24.04718,1.1770115,human_unconventional,human_unconventional,4
C:\Users\maryc\Downloads\881project\uncannyrobot\erica.jpg,25.98351,25.978867,0.0046424866,human_unconventional,human_conventional,4
C:\Users\maryc\Downloads\881project\uncannyrobot\geminoid H1-4.jpg,23.948524,24.132252,-0.18372726,human_conventional,human_unconventional,4
C:\Users\maryc\Downloads\881project\uncannyrobot\sophia.png,22.418087,24.802475,-2.384388,human_conventional,human_conventional,5
C:\Users\maryc\Downloads\881project\uncannyrobot\geminoid H1-4.jpg,23.154005,26.41363,-3.2596245,human_conventional,human_conventional,5
C:\Users\maryc\Downloads\881project\uncannyrobot\geminoid H1-4.jpg,23.154005,26.41363,-3.2596245,human_conventional,human_conventional,5
C:\Users\maryc\Downloads\881project\uncannyrobot\jiajia.png,22.887663,25.874115,-2.986452,human_conventional,human_conventional,5
C:\Users\maryc\Downloads\881project\uncannyrobot\sophia.png,22.418087,24.802475,-2.384388,human_conventional,human_conventional,5
C:\Users\maryc\Downloads\881project\uncannyrobot\otonaroid.jpg,25.157564,26.911469,-1.7539043,human_conventional,human_conventional,5
C:\Users\maryc\Downloads\881project\uncannyrobot\bina48.png,24.874193,26.937271,-2.063078,human_conventional,human_conventional,5
C:\Users\maryc\Downloads\881project\uncannyrobot\han.png,24.45735,23.949036,0.50831413,human_unconventional,human_unconventional,6
C:\Users\maryc\Downloads\881project\uncannyrobot\bina48.png,24.91506,23.638645,1.2764149,human_unconventional,human_unconventional,6
C:\Users\maryc\Downloads\881project\uncannyrobot\erica.jpg,26.215174,25.790754,0.4244194,human_unconventional,human_conventional,6
C:\Users\maryc\Downloads\881project\uncannyrobot\bina48.png,24.91506,23.638645,1.2764149,human_unconventional,human_unconventional,6
C:\Users\maryc\Downloads\881project\uncannyrobot\nadine.png,24.272629,23.754576,0.51805305,human_unconventional,human_unconventional,6
C:\Users\maryc\Downloads\881project\uncannyrobot\nadine.png,24.272629,23.754576,0.51805305,human_unconventional,human_unconventional,6
C:\Users\maryc\Downloads\881project\uncannyrobot\kodomoroid.jpg,25.075401,24.633913,0.44148827,human_unconventional,human_unconventional,6
C:\Users\maryc\Downloads\881project\uncannyrobot\han.png,24.62374,25.986876,-1.3631363,human_conventional,human_conventional,7
C:\Users\maryc\Downloads\881project\uncannyrobot\erica.jpg,25.046228,26.664719,-1.6184902,human_conventional,human_conventional,7
C:\Users\maryc\Downloads\881project\uncannyrobot\han.png,24.62374,25.986876,-1.3631363,human_conventional,human_conventional,7
C:\Users\maryc\Downloads\881project\uncannyrobot\sophia.png,21.553112,23.966948,-2.4138355,human_conventional,human_unconventional,7
C:\Users\maryc\Downloads\881project\uncannyrobot\han.png,24.62374,25.986876,-1.3631363,human_conventional,human_conventional,7
C:\Users\maryc\Downloads\881project\uncannyrobot\sophia.png,21.553112,23.966948,-2.4138355,human_conventional,human_unconventional,7
C:\Users\maryc\Downloads\881project\uncannyrobot\jiajia.png,21.60896,24.342869,-2.7339096,human_conventional,human_conventional,7
C:\Users\maryc\Downloads\881project\uncannyrobot\nadine.png,24.37127,23.880413,0.49085617,human_unconventional,human_unconventional,8
C:\Users\maryc\Downloads\881project\uncannyrobot\han.png,24.594421,24.981808,-0.38738632,human_conventional,human_conventional,8
C:\Users\maryc\Downloads\881project\uncannyrobot\otonaroid.jpg,25.274414,24.422356,0.8520584,human_unconventional,human_unconventional,8
C:\Users\maryc\Downloads\881project\uncannyrobot\kaspar.jpg,33.50739,31.750795,1.7565937,human_unconventional,human_unconventional,8
C:\Users\maryc\Downloads\881project\uncannyrobot\kaspar.jpg,33.50739,31.750795,1.7565937,human_unconventional,human_unconventional,8
C:\Users\maryc\Downloads\881project\uncannyrobot\erica.jpg,26.20016,25.751146,0.44901276,human_unconventional,human_unconventional,8
C:\Users\maryc\Downloads\881project\uncannyrobot\jiajia.png,23.80365,23.3468,0.45685005,human_unconventional,human_unconventional,8
C:\Users\maryc\Downloads\881project\uncannyrobot\erica.jpg,25.548285,26.157248,-0.608963,human_conventional,human_conventional,9
C:\Users\maryc\Downloads\881project\uncannyrobot\han.png,24.281141,25.723373,-1.4422321,human_conventional,human_conventional,9
C:\Users\maryc\Downloads\881project\uncannyrobot\kodomoroid.jpg,25.241901,26.563438,-1.321537,human_conventional,human_unconventional,9
C:\Users\maryc\Downloads\881project\uncannyrobot\erica.jpg,25.548285,26.157248,-0.608963,human_conventional,human_conventional,9
C:\Users\maryc\Downloads\881project\uncannyrobot\kodomoroid.jpg,25.241901,26.563438,-1.321537,human_conventional,human_unconventional,9
C:\Users\maryc\Downloads\881project\uncannyrobot\erica.jpg,25.548285,26.157248,-0.608963,human_conventional,human_conventional,9
C:\Users\maryc\Downloads\881project\uncannyrobot\erica.jpg,25.548285,26.157248,-0.608963,human_conventional,human_conventional,9
C:\Users\maryc\Downloads\881project\uncannyrobot\geminoid H1-4.jpg,22.95368,24.0207,-1.0670204,human_conventional,human_conventional,10
C:\Users\maryc\Downloads\881project\uncannyrobot\jiajia.png,23.11615,23.694874,-0.5787239,human_conventional,human_conventional,10
C:\Users\maryc\Downloads\881project\uncannyrobot\kodomoroid.jpg,25.460663,25.4477,0.012962341,human_unconventional,human_conventional,10
C:\Users\maryc\Downloads\881project\uncannyrobot\jiajia.png,23.11615,23.694874,-0.5787239,human_conventional,human_conventional,10
C:\Users\maryc\Downloads\881project\uncannyrobot\jiajia.png,23.11615,23.694874,-0.5787239,human_conventional,human_conventional,10
C:\Users\maryc\Downloads\881project\uncannyrobot\sophia.png,22.658463,22.822687,-0.16422462,human_conventional,human_unconventional,10
C:\Users\maryc\Downloads\881project\uncannyrobot\erica.jpg,25.961624,25.717505,0.24411964,human_unconventional,human_unconventional,10
C:\Users\maryc\Downloads\881project\uncannyrobot\han.png,24.737032,24.934362,-0.19733047,human_conventional,human_unconventional,11
C:\Users\maryc\Downloads\881project\uncannyrobot\erica.jpg,27.027569,26.33774,0.6898289,human_unconventional,human_conventional,11
C:\Users\maryc\Downloads\881project\uncannyrobot\kodomoroid.jpg,25.43054,26.177546,-0.74700546,human_conventional,human_conventional,11
C:\Users\maryc\Downloads\881project\uncannyrobot\kodomoroid.jpg,25.43054,26.177546,-0.74700546,human_conventional,human_conventional,11
C:\Users\maryc\Downloads\881project\uncannyrobot\erica.jpg,27.027569,26.33774,0.6898289,human_unconventional,human_conventional,11
C:\Users\maryc\Downloads\881project\uncannyrobot\geminoid H1-4.jpg,23.280586,24.011934,-0.73134804,human_conventional,human_conventional,11
C:\Users\maryc\Downloads\881project\uncannyrobot\geminoid H1-4.jpg,23.280586,24.011934,-0.73134804,human_conventional,human_conventional,11
C:\Users\maryc\Downloads\881project\uncannyrobot\sophia.png,22.319126,23.527916,-1.2087898,human_conventional,human_unconventional,12
C:\Users\maryc\Downloads\881project\uncannyrobot\han.png,24.515545,26.338366,-1.8228207,human_conventional,human_conventional,12
C:\Users\maryc\Downloads\881project\uncannyrobot\geminoid H1-4.jpg,23.473822,25.11261,-1.6387882,human_conventional,human_unconventional,12
C:\Users\maryc\Downloads\881project\uncannyrobot\sophia.png,22.319126,23.527916,-1.2087898,human_conventional,human_unconventional,12
C:\Users\maryc\Downloads\881project\uncannyrobot\kodomoroid.jpg,24.727528,26.893766,-2.1662388,human_conventional,human_conventional,12
C:\Users\maryc\Downloads\881project\uncannyrobot\geminoid H1-4.jpg,23.473822,25.11261,-1.6387882,human_conventional,human_unconventional,12
C:\Users\maryc\Downloads\881project\uncannyrobot\kodomoroid.jpg,24.727528,26.893766,-2.1662388,human_conventional,human_conventional,12
C:\Users\maryc\Downloads\881project\uncannyrobot\erica.jpg,26.043135,26.358849,-0.31571388,human_conventional,human_conventional,13
C:\Users\maryc\Downloads\881project\uncannyrobot\kaspar.jpg,32.351433,33.333336,-0.9819031,human_conventional,human_unconventional,13
C:\Users\maryc\Downloads\881project\uncannyrobot\jiajia.png,22.451792,23.683327,-1.231535,human_conventional,human_conventional,13
C:\Users\maryc\Downloads\881project\uncannyrobot\han.png,24.200928,25.359604,-1.1586761,human_conventional,human_conventional,13
C:\Users\maryc\Downloads\881project\uncannyrobot\bina48.png,25.230434,25.5005,-0.2700653,human_conventional,human_unconventional,13
C:\Users\maryc\Downloads\881project\uncannyrobot\nadine.png,23.951508,24.42273,-0.47122192,human_conventional,human_conventional,13
C:\Users\maryc\Downloads\881project\uncannyrobot\han.png,24.200928,25.359604,-1.1586761,human_conventional,human_conventional,13
C:\Users\maryc\Downloads\881project\uncannyrobot\han.png,24.450167,24.9683,-0.51813316,human_conventional,human_unconventional,14
C:\Users\maryc\Downloads\881project\uncannyrobot\kaspar.jpg,33.391636,33.37973,0.01190567,human_unconventional,human_unconventional,14
C:\Users\maryc\Downloads\881project\uncannyrobot\nadine.png,23.922832,24.04558,-0.12274742,human_conventional,human_unconventional,14
C:\Users\maryc\Downloads\881project\uncannyrobot\otonaroid.jpg,25.159853,26.256811,-1.0969582,human_conventional,human_unconventional,14
C:\Users\maryc\Downloads\881project\uncannyrobot\bina48.png,24.90589,25.773594,-0.8677044,human_conventional,human_unconventional,14
C:\Users\maryc\Downloads\881project\uncannyrobot\erica.jpg,25.915802,26.48769,-0.57188797,human_conventional,human_unconventional,14
C:\Users\maryc\Downloads\881project\uncannyrobot\geminoid H1-4.jpg,23.051033,24.738523,-1.6874905,human_conventional,human_unconventional,14
C:\Users\maryc\Downloads\881project\uncannyrobot\sophia.png,22.38584,23.030115,-0.64427567,human_conventional,human_unconventional,15
C:\Users\maryc\Downloads\881project\uncannyrobot\kodomoroid.jpg,24.834845,25.676966,-0.8421211,human_conventional,human_unconventional,15
C:\Users\maryc\Downloads\881project\uncannyrobot\nadine.png,24.054873,23.828352,0.22652054,human_unconventional,human_unconventional,15
C:\Users\maryc\Downloads\881project\uncannyrobot\kaspar.jpg,33.499126,31.325974,2.173153,human_unconventional,human_unconventional,15
C:\Users\maryc\Downloads\881project\uncannyrobot\jiajia.png,21.511938,24.093718,-2.5817795,human_conventional,human_conventional,15
C:\Users\maryc\Downloads\881project\uncannyrobot\erica.jpg,25.593483,25.904919,-0.3114357,human_conventional,human_conventional,15
C:\Users\maryc\Downloads\881project\uncannyrobot\otonaroid.jpg,24.559795,25.457912,-0.89811707,human_conventional,human_conventional,15
C:\Users\maryc\Downloads\881project\uncannyrobot\kaspar.jpg,32.426662,31.533964,0.8926983,human_unconventional,human_unconventional,16
C:\Users\maryc\Downloads\881project\uncannyrobot\geminoid H1-4.jpg,22.501492,24.061268,-1.5597763,human_conventional,human_conventional,16
C:\Users\maryc\Downloads\881project\uncannyrobot\sophia.png,21.635206,22.929626,-1.2944202,human_conventional,human_conventional,16
C:\Users\maryc\Downloads\881project\uncannyrobot\sophia.png,21.635206,22.929626,-1.2944202,human_conventional,human_conventional,16
C:\Users\maryc\Downloads\881project\uncannyrobot\jiajia.png,22.131842,24.150602,-2.0187607,human_conventional,human_conventional,16
C:\Users\maryc\Downloads\881project\uncannyrobot\bina48.png,24.218739,24.68949,-0.4707508,human_conventional,human_conventional,16
C:\Users\maryc\Downloads\881project\uncannyrobot\kaspar.jpg,32.426662,31.533964,0.8926983,human_unconventional,human_unconventional,16
C:\Users\maryc\Downloads\881project\uncannyrobot\otonaroid.jpg,24.561226,25.378607,-0.8173809,human_conventional,human_conventional,17
C:\Users\maryc\Downloads\881project\uncannyrobot\bina48.png,24.476976,23.771208,0.7057686,human_unconventional,human_unconventional,17
C:\Users\maryc\Downloads\881project\uncannyrobot\kodomoroid.jpg,25.17297,25.592115,-0.41914558,human_conventional,human_unconventional,17
C:\Users\maryc\Downloads\881project\uncannyrobot\erica.jpg,25.614168,25.349558,0.2646103,human_unconventional,human_unconventional,17
C:\Users\maryc\Downloads\881project\uncannyrobot\geminoid H1-4.jpg,23.150494,24.413303,-1.2628098,human_conventional,human_conventional,17
C:\Users\maryc\Downloads\881project\uncannyrobot\otonaroid.jpg,24.561226,25.378607,-0.8173809,human_conventional,human_conventional,17
C:\Users\maryc\Downloads\881project\uncannyrobot\geminoid H1-4.jpg,23.150494,24.413303,-1.2628098,human_conventional,human_conventional,17
C:\Users\maryc\Downloads\881project\uncannyrobot\geminoid H1-4.jpg,22.428175,27.03739,-4.609215,human_conventional,human_conventional,18
C:\Users\maryc\Downloads\881project\uncannyrobot\jiajia.png,22.43362,24.923052,-2.4894314,human_conventional,human_conventional,18
C:\Users\maryc\Downloads\881project\uncannyrobot\kaspar.jpg,32.815804,33.352245,-0.5364418,human_conventional,human_conventional,18
C:\Users\maryc\Downloads\881project\uncannyrobot\geminoid H1-4.jpg,22.428175,27.03739,-4.609215,human_conventional,human_conventional,18
C:\Users\maryc\Downloads\881project\uncannyrobot\geminoid H1-4.jpg,22.428175,27.03739,-4.609215,human_conventional,human_conventional,18
C:\Users\maryc\Downloads\881project\uncannyrobot\geminoid H1-4.jpg,22.428175,27.03739,-4.609215,human_conventional,human_conventional,18
C:\Users\maryc\Downloads\881project\uncannyrobot\sophia.png,21.73411,24.91724,-3.1831303,human_conventional,human_conventional,18
C:\Users\maryc\Downloads\881project\uncannyrobot\erica.jpg,25.26516,25.794004,-0.52884483,human_conventional,human_conventional,19
C:\Users\maryc\Downloads\881project\uncannyrobot\geminoid H1-4.jpg,21.718578,23.772783,-2.054205,human_conventional,human_conventional,19
C:\Users\maryc\Downloads\881project\uncannyrobot\kaspar.jpg,32.41716,32.582253,-0.16509247,human_conventional,human_unconventional,19
C:\Users\maryc\Downloads\881project\uncannyrobot\erica.jpg,25.26516,25.794004,-0.52884483,human_conventional,human_conventional,19
C:\Users\maryc\Downloads\881project\uncannyrobot\jiajia.png,22.055613,23.637766,-1.5821533,human_conventional,human_conventional,19
