iteration,mean_dist_to_conventional,mean_dist_to_unconventional,mean_delta,median_delta,centroid_unconventional_count,centroid_conventional_count,nn_unconventional_count,nn_conventional_count,prop_centroid_unconventional,prop_nn_unconventional
0,23.949804,24.716848,-0.76704544,-0.91913795,2,5,0,7,0.2857142857142857,0.0
1,25.964691,26.69134,-0.72664803,-1.1685982,3,4,2,5,0.42857142857142855,0.2857142857142857
2,25.053389,25.621122,-0.567731,-0.6629486,1,6,0,7,0.14285714285714285,0.0
3,24.0602,25.342817,-1.2826201,-1.490757,0,7,1,6,0.0,0.14285714285714285
4,28.485779,27.674255,0.8115248,1.1770115,5,2,6,1,0.7142857142857143,0.8571428571428571
5,23.437656,26.022152,-2.584494,-2.384388,0,7,0,7,0.0,0.0
6,24.87476,24.165735,0.7090225,0.51805305,7,0,6,1,1.0,0.8571428571428571
7,23.37609,25.27173,-1.89564,-1.6184902,0,7,2,5,0.0,0.2857142857142857
8,27.322672,26.554873,0.76779693,0.49085617,6,1,6,1,0.8571428571428571,0.8571428571428571
9,25.279724,26.211319,-0.931594,-0.608963,0,7,2,5,0.0,0.2857142857142857
10,23.768984,24.156174,-0.38719067,-0.5787239,2,5,2,5,0.2857142857142857,0.2857142857142857
11,25.173489,25.426971,-0.25348282,-0.73134804,2,5,1,6,0.2857142857142857,0.14285714285714285
12,23.650927,25.343851,-1.692922,-1.6387882,0,7,4,3,0.0,0.5714285714285714
13,25.490023,26.288279,-0.7982559,-0.9819031,0,7,2,5,0.0,0.2857142857142857
14,25.828173,26.52146,-0.69328797,-0.57188797,1,6,7,0,0.14285714285714285,1.0
15,25.205702,25.616852,-0.41115078,-0.64427567,2,5,4,3,0.2857142857142857,0.5714285714285714
16,25.282259,25.975506,-0.6932474,-1.2944202,2,5,2,5,0.2857142857142857,0.2857142857142857
17,24.383936,24.899527,-0.5155926,-0.8173809,2,5,3,4,0.2857142857142857,0.42857142857142855
18,23.81375,27.334583,-3.5208375,-4.609215,0,7,0,7,0.0,0.0
19,26.343426,27.136723,-0.7932968,-0.52884483,0,7,2,5,0.0,0.2857142857142857
20,25.100498,25.11083,-0.010330473,-0.07206726,3,4,3,4,0.42857142857142855,0.42857142857142855
21,23.644178,23.857346,-0.21316555,-0.35634995,3,4,1,6,0.42857142857142855,0.14285714285714285
22,23.753714,23.960758,-0.20704433,-1.0211372,3,4,1,6,0.42857142857142855,0.14285714285714285
23,24.649197,24.706572,-0.057375498,0.0035514832,4,3,5,2,0.5714285714285714,0.7142857142857143
24,26.65924,26.996862,-0.33762333,-0.121686935,2,5,0,7,0.2857142857142857,0.0
25,27.475208,27.913717,-0.4385101,-0.46565628,0,7,2,5,0.0,0.2857142857142857
26,23.842821,24.294718,-0.45189556,-0.56642914,2,5,5,2,0.2857142857142857,0.7142857142857143
27,25.20653,27.539793,-2.3332634,-1.943882,0,7,5,2,0.0,0.7142857142857143
28,26.671793,26.499115,0.172678,0.034832,5,2,6,1,0.7142857142857143,0.8571428571428571
29,24.87279,25.039766,-0.16697611,-0.23788452,3,4,2,5,0.42857142857142855,0.2857142857142857
30,24.402119,24.478548,-0.076428,0.6684437,4,3,1,6,0.5714285714285714,0.14285714285714285
31,23.97605,24.320005,-0.3439552,-0.21188354,1,6,2,5,0.14285714285714285,0.2857142857142857
32,25.682117,25.531149,0.15096991,-0.023794174,2,5,7,0,0.2857142857142857,1.0
33,26.563313,28.307909,-1.7445956,-1.4643898,0,7,0,7,0.0,0.0
34,23.540146,24.054562,-0.51441574,-0.5910492,0,7,0,7,0.0,0.0
35,28.566977,28.269228,0.2977502,0.81066513,4,3,7,0,0.5714285714285714,1.0
36,26.132025,26.515207,-0.38317925,-0.91901016,2,5,4,3,0.2857142857142857,0.5714285714285714
37,23.627344,25.225296,-1.597953,-1.4906979,0,7,0,7,0.0,0.0
38,24.670547,24.15737,0.5131765,0.4747715,6,1,5,2,0.8571428571428571,0.7142857142857143
39,24.549358,25.011148,-0.4617879,-0.29684258,0,7,6,1,0.0,0.8571428571428571
40,24.50075,24.394634,0.10611452,0.44348145,5,2,0,7,0.7142857142857143,0.0
41,24.884075,25.908756,-1.024679,-1.2173977,0,7,0,7,0.0,0.0
42,24.670004,24.458958,0.21104895,0.24985695,4,3,6,1,0.5714285714285714,0.8571428571428571
43,24.754074,24.948238,-0.1941621,-0.04668808,3,4,5,2,0.42857142857142855,0.7142857142857143
44,23.528868,24.854855,-1.3259856,-1.3921585,0,7,4,3,0.0,0.5714285714285714
45,24.163326,23.815664,0.34765953,-0.15187073,3,4,3,4,0.42857142857142855,0.42857142857142855
46,23.88796,24.372423,-0.48446518,-1.0953331,3,4,1,6,0.42857142857142855,0.14285714285714285
47,26.026918,27.013676,-0.98675567,-0.50295067,1,6,4,3,0.14285714285714285,0.5714285714285714
48,25.293085,24.599703,0.69338065,0.39058113,5,2,6,1,0.7142857142857143,0.8571428571428571
49,24.240496,24.581556,-0.34106064,-0.29928207,2,5,5,2,0.2857142857142857,0.7142857142857143
50,24.367636,25.041927,-0.6742913,-0.7871895,0,7,0,7,0.0,0.0
51,25.398428,25.678282,-0.2798519,-0.041381836,2,5,7,0,0.2857142857142857,1.0
52,24.858248,26.865128,-2.0068793,-2.0761757,0,7,4,3,0.0,0.5714285714285714
53,25.946169,25.82233,0.123840876,0.38166046,5,2,1,6,0.7142857142857143,0.14285714285714285
54,23.337437,23.895123,-0.55768394,-0.69540215,0,7,1,6,0.0,0.14285714285714285
55,26.386423,26.647831,-0.26140758,0.041742325,4,3,7,0,0.5714285714285714,1.0
56,23.7883,25.484476,-1.6961768,-1.5934372,0,7,2,5,0.0,0.2857142857142857
57,24.23819,24.79008,-0.5518897,-0.46072388,0,7,0,7,0.0,0.0
58,28.84769,28.989557,-0.1418675,-0.3418312,2,5,2,5,0.2857142857142857,0.2857142857142857
59,25.414806,26.242674,-0.8278697,-1.3239326,2,5,1,6,0.2857142857142857,0.14285714285714285
60,24.856627,26.323696,-1.4670677,-1.2748299,0,7,4,3,0.0,0.5714285714285714
61,23.88072,24.446222,-0.5655049,-0.17185402,2,5,0,7,0.2857142857142857,0.0
62,25.292538,25.962091,-0.66955537,-0.788538,2,5,2,5,0.2857142857142857,0.2857142857142857
63,25.900316,26.156813,-0.25649208,0.12850952,4,3,5,2,0.5714285714285714,0.7142857142857143
64,23.146687,24.066395,-0.9197077,-1.015255,0,7,0,7,0.0,0.0
65,24.115515,23.93706,0.17845671,-0.009195328,3,4,6,1,0.42857142857142855,0.8571428571428571
66,25.546097,26.03787,-0.49177197,-0.31822395,1,6,2,5,0.14285714285714285,0.2857142857142857
67,24.498632,24.983234,-0.48460034,-0.2362938,1,6,5,2,0.14285714285714285,0.7142857142857143
68,24.212503,25.492617,-1.2801145,-1.3531017,0,7,4,3,0.0,0.5714285714285714
69,25.37878,25.829895,-0.4511144,-0.797245,2,5,3,4,0.2857142857142857,0.42857142857142855
70,24.81239,24.904362,-0.091972895,-0.16401291,3,4,1,6,0.42857142857142855,0.14285714285714285
71,25.122408,25.843948,-0.7215396,-1.00383,2,5,1,6,0.2857142857142857,0.14285714285714285
72,23.854383,24.445616,-0.5912301,-0.57933044,0,7,6,1,0.0,0.8571428571428571
73,24.92352,25.497408,-0.5738874,-0.77391624,1,6,1,6,0.14285714285714285,0.14285714285714285
74,22.499714,23.778543,-1.2788268,-1.0292206,0,7,0,7,0.0,0.0
75,25.0081,24.466654,0.5414467,0.28306198,6,1,3,4,0.8571428571428571,0.42857142857142855
76,25.105047,25.417658,-0.3126079,0.11517334,4,3,4,3,0.5714285714285714,0.5714285714285714
77,24.172632,24.76765,-0.5950192,-1.081789,2,5,6,1,0.2857142857142857,0.8571428571428571
78,24.872828,26.38129,-1.5084654,-1.4485035,0,7,0,7,0.0,0.0
79,24.120895,24.60177,-0.4808731,-0.47959518,3,4,6,1,0.42857142857142855,0.8571428571428571
80,25.23522,25.56839,-0.33316776,-0.3166294,2,5,6,1,0.2857142857142857,0.8571428571428571
81,23.516985,24.93297,-1.4159843,-1.2136765,0,7,0,7,0.0,0.0
82,25.220615,25.362104,-0.14149094,0.0092048645,4,3,6,1,0.5714285714285714,0.8571428571428571
83,24.548624,25.863785,-1.3151608,-1.4938736,0,7,2,5,0.0,0.2857142857142857
84,23.741932,24.21412,-0.47218594,-0.39803886,0,7,2,5,0.0,0.2857142857142857
85,23.795847,25.053326,-1.2574806,-1.246376,1,6,5,2,0.14285714285714285,0.7142857142857143
86,25.048422,26.16356,-1.1151384,-1.3080044,0,7,5,2,0.0,0.7142857142857143
87,25.27608,25.787058,-0.51097625,-0.4309578,1,6,0,7,0.14285714285714285,0.0
88,24.378805,26.363445,-1.9846399,-1.8100033,0,7,3,4,0.0,0.42857142857142855
89,23.707508,24.09818,-0.3906735,-0.23241043,2,5,4,3,0.2857142857142857,0.5714285714285714
90,23.499191,24.17383,-0.6746398,-1.2471981,2,5,3,4,0.2857142857142857,0.42857142857142855
91,23.87971,25.467886,-1.5881759,-1.595604,0,7,0,7,0.0,0.0
92,24.500643,24.598398,-0.0977538,-0.16667557,2,5,3,4,0.2857142857142857,0.42857142857142855
93,26.042524,26.326529,-0.2840075,-0.17011261,3,4,3,4,0.42857142857142855,0.42857142857142855
94,25.757929,25.549658,0.20826967,0.008188248,5,2,0,7,0.7142857142857143,0.0
95,24.865488,24.66106,0.20442636,-0.20918274,2,5,6,1,0.2857142857142857,0.8571428571428571
96,23.40709,23.628904,-0.22181265,-0.46055603,3,4,7,0,0.42857142857142855,1.0
97,27.004175,27.116611,-0.11244065,0.033651352,4,3,5,2,0.5714285714285714,0.7142857142857143
98,23.867315,23.963032,-0.095717296,-0.15827179,3,4,7,0,0.42857142857142855,1.0
99,26.280432,25.845623,0.43480873,0.35574532,6,1,6,1,0.8571428571428571,0.8571428571428571
100,24.074957,23.546265,0.5286928,0.3725853,5,2,4,3,0.7142857142857143,0.5714285714285714
101,25.500578,26.242962,-0.7423848,-0.8852596,1,6,0,7,0.14285714285714285,0.0
102,24.869953,25.139431,-0.26947758,-0.1706562,3,4,5,2,0.42857142857142855,0.7142857142857143
103,24.857481,25.4113,-0.5538224,-0.39082718,0,7,6,1,0.0,0.8571428571428571
104,23.273466,23.70459,-0.43112537,0.13023376,4,3,0,7,0.5714285714285714,0.0
105,24.971375,25.91823,-0.9468561,-1.0719585,1,6,0,7,0.14285714285714285,0.0
106,25.279875,26.342274,-1.062401,-0.9754982,1,6,0,7,0.14285714285714285,0.0
107,23.486189,25.840366,-2.3541777,-2.305437,0,7,4,3,0.0,0.5714285714285714
108,24.37462,26.440351,-2.0657308,-1.961401,0,7,0,7,0.0,0.0
109,24.000381,24.663776,-0.66339546,-0.65208054,0,7,0,7,0.0,0.0
