uncanny_path,dist_to_conventional_centroid,dist_to_unconventional_centroid,closer_to
C:\Users\maryc\Downloads\881project\uncannyrobot\otonaroid.jpg,23.697824,23.609264,human_unconventional
C:\Users\maryc\Downloads\881project\uncannyrobot\erica.jpg,25.01933,24.746653,human_unconventional
C:\Users\maryc\Downloads\881project\uncannyrobot\kaspar.jpg,31.953213,31.395042,human_unconventional
C:\Users\maryc\Downloads\881project\uncannyrobot\bina48.png,23.662132,23.492655,human_unconventional
C:\Users\maryc\Downloads\881project\uncannyrobot\nadine.png,22.673647,22.616238,human_unconventional
C:\Users\maryc\Downloads\881project\uncannyrobot\geminoid H1-4.jpg,22.179049,22.714094,human_conventional
C:\Users\maryc\Downloads\881project\uncannyrobot\sophia.png,21.031317,21.516142,human_conventional
C:\Users\maryc\Downloads\881project\uncannyrobot\jiajia.png,21.880486,21.890924,human_conventional
C:\Users\maryc\Downloads\881project\uncannyrobot\han.png,23.312744,23.62033,human_conventional
C:\Users\maryc\Downloads\881project\uncannyrobot\kodomoroid.jpg,24.445568,24.7269,human_conventional
