uncanny_path,dist_to_conventional_centroid,dist_to_unconventional_centroid,closer_to
C:\Users\maryc\Downloads\881project\uncannyrobot\otonaroid.jpg,24.005054,25.635946,human_conventional
C:\Users\maryc\Downloads\881project\uncannyrobot\erica.jpg,24.210718,25.939121,human_conventional
C:\Users\maryc\Downloads\881project\uncannyrobot\kaspar.jpg,29.265354,30.364113,human_conventional
C:\Users\maryc\Downloads\881project\uncannyrobot\bina48.png,23.294538,25.408802,human_conventional
C:\Users\maryc\Downloads\881project\uncannyrobot\nadine.png,24.148214,25.118427,human_conventional
C:\Users\maryc\Downloads\881project\uncannyrobot\geminoid H1-4.jpg,23.209831,25.74559,human_conventional
C:\Users\maryc\Downloads\881project\uncannyrobot\sophia.png,23.122461,24.975222,human_conventional
C:\Users\maryc\Downloads\881project\uncannyrobot\jiajia.png,21.473272,23.781387,human_conventional
C:\Users\maryc\Downloads\881project\uncannyrobot\han.png,23.044062,24.426762,human_conventional
C:\Users\maryc\Downloads\881project\uncannyrobot\kodomoroid.jpg,24.67384,26.489523,human_conventional
