iteration,k,pred_unconventional_count,pred_conventional_count,prop_pred_unconventional
0,3,0,7,0.0
1,3,4,3,0.5714285714285714
2,3,1,6,0.14285714285714285
3,3,0,7,0.0
4,3,7,0,1.0
5,3,1,6,0.14285714285714285
6,3,6,1,0.8571428571428571
7,3,0,7,0.0
8,3,6,1,0.8571428571428571
9,3,3,4,0.42857142857142855
10,3,2,5,0.2857142857142857
11,3,7,0,1.0
12,3,0,7,0.0
13,3,1,6,0.14285714285714285
14,3,6,1,0.8571428571428571
15,3,3,4,0.42857142857142855
16,3,4,3,0.5714285714285714
17,3,3,4,0.42857142857142855
18,3,0,7,0.0
19,3,5,2,0.7142857142857143
20,3,7,0,1.0
21,3,0,7,0.0
22,3,3,4,0.42857142857142855
23,3,3,4,0.42857142857142855
24,3,4,3,0.5714285714285714
25,3,0,7,0.0
26,3,3,4,0.42857142857142855
27,3,4,3,0.5714285714285714
28,3,6,1,0.8571428571428571
29,3,3,4,0.42857142857142855
30,3,1,6,0.14285714285714285
31,3,3,4,0.42857142857142855
32,3,5,2,0.7142857142857143
33,3,0,7,0.0
34,3,5,2,0.7142857142857143
35,3,4,3,0.5714285714285714
36,3,3,4,0.42857142857142855
37,3,0,7,0.0
38,3,5,2,0.7142857142857143
39,3,2,5,0.2857142857142857
40,3,5,2,0.7142857142857143
41,3,2,5,0.2857142857142857
42,3,5,2,0.7142857142857143
43,3,7,0,1.0
44,3,3,4,0.42857142857142855
45,3,3,4,0.42857142857142855
46,3,3,4,0.42857142857142855
47,3,4,3,0.5714285714285714
48,3,5,2,0.7142857142857143
49,3,3,4,0.42857142857142855
50,3,0,7,0.0
51,3,6,1,0.8571428571428571
52,3,0,7,0.0
53,3,1,6,0.14285714285714285
54,3,4,3,0.5714285714285714
55,3,7,0,1.0
56,3,5,2,0.7142857142857143
57,3,0,7,0.0
58,3,7,0,1.0
59,3,0,7,0.0
60,3,5,2,0.7142857142857143
61,3,3,4,0.42857142857142855
62,3,7,0,1.0
63,3,5,2,0.7142857142857143
64,3,0,7,0.0
65,3,7,0,1.0
66,3,1,6,0.14285714285714285
67,3,3,4,0.42857142857142855
68,3,5,2,0.7142857142857143
69,3,2,5,0.2857142857142857
