uncanny_path,nearest_conventional_path,nearest_conventional_dist,nearest_unconventional_path,nearest_unconventional_dist,nearest_group
C:\Users\maryc\Downloads\881project\uncannyrobot\otonaroid.jpg,C:\Users\maryc\Downloads\881project\conventionalfaces\human_238.png,29.792007,C:\Users\maryc\Downloads\881project\unconventionalfaces\images.jpg,30.292461,human_conventional
C:\Users\maryc\Downloads\881project\uncannyrobot\erica.jpg,C:\Users\maryc\Downloads\881project\conventionalfaces\human_238.png,29.284468,C:\Users\maryc\Downloads\881project\unconventionalfaces\images.jpg,30.569323,human_conventional
C:\Users\maryc\Downloads\881project\uncannyrobot\kaspar.jpg,C:\Users\maryc\Downloads\881project\conventionalfaces\human_63.png,33.70229,C:\Users\maryc\Downloads\881project\unconventionalfaces\images.jpg,34.164806,human_conventional
C:\Users\maryc\Downloads\881project\uncannyrobot\bina48.png,C:\Users\maryc\Downloads\881project\conventionalfaces\human_109.png,28.818027,C:\Users\maryc\Downloads\881project\unconventionalfaces\images.jpg,28.429176,human_unconventional
C:\Users\maryc\Downloads\881project\uncannyrobot\nadine.png,C:\Users\maryc\Downloads\881project\conventionalfaces\human_238.png,29.61139,C:\Users\maryc\Downloads\881project\unconventionalfaces\images.jpg,29.607454,human_unconventional
C:\Users\maryc\Downloads\881project\uncannyrobot\geminoid H1-4.jpg,C:\Users\maryc\Downloads\881project\conventionalfaces\human_125.png,28.075521,C:\Users\maryc\Downloads\881project\unconventionalfaces\images.jpg,29.137648,human_conventional
C:\Users\maryc\Downloads\881project\uncannyrobot\sophia.png,C:\Users\maryc\Downloads\881project\conventionalfaces\human_238.png,28.95794,C:\Users\maryc\Downloads\881project\unconventionalfaces\images.jpg,28.932121,human_unconventional
C:\Users\maryc\Downloads\881project\uncannyrobot\jiajia.png,C:\Users\maryc\Downloads\881project\conventionalfaces\human_217.png,27.665047,C:\Users\maryc\Downloads\881project\unconventionalfaces\images.jpg,28.356457,human_conventional
C:\Users\maryc\Downloads\881project\uncannyrobot\han.png,C:\Users\maryc\Downloads\881project\conventionalfaces\human_238.png,28.623133,C:\Users\maryc\Downloads\881project\unconventionalfaces\images.jpg,28.82335,human_conventional
C:\Users\maryc\Downloads\881project\uncannyrobot\kodomoroid.jpg,C:\Users\maryc\Downloads\881project\conventionalfaces\human_146.png,29.039078,C:\Users\maryc\Downloads\881project\unconventionalfaces\images.jpg,30.198673,human_conventional
