group,path,status
uncanny,C:\Users\maryc\Downloads\881project\uncannyrobot\bina48.png,ok
uncanny,C:\Users\maryc\Downloads\881project\uncannyrobot\erica.jpg,ok
uncanny,C:\Users\maryc\Downloads\881project\uncannyrobot\geminoid H1-4.jpg,ok
uncanny,C:\Users\maryc\Downloads\881project\uncannyrobot\han.png,ok
uncanny,C:\Users\maryc\Downloads\881project\uncannyrobot\jiajia.png,ok
uncanny,C:\Users\maryc\Downloads\881project\uncannyrobot\kaspar.jpg,ok
uncanny,C:\Users\maryc\Downloads\881project\uncannyrobot\kodomoroid.jpg,ok
uncanny,C:\Users\maryc\Downloads\881project\uncannyrobot\nadine.png,ok
uncanny,C:\Users\maryc\Downloads\881project\uncannyrobot\otonaroid.jpg,ok
uncanny,C:\Users\maryc\Downloads\881project\uncannyrobot\sophia.png,ok
stylized,C:\Users\maryc\Downloads\881project\stylishedrobot\albert einstein hubo.png,ok
stylized,C:\Users\maryc\Downloads\881project\stylishedrobot\alter.png,ok
stylized,C:\Users\maryc\Downloads\881project\stylishedrobot\cb2.png,no_face
stylized,C:\Users\maryc\Downloads\881project\stylishedrobot\furhat.png,no_face
stylized,C:\Users\maryc\Downloads\881project\stylishedrobot\kengoro.png,ok
stylized,C:\Users\maryc\Downloads\881project\stylishedrobot\kojiro.png,no_face
stylized,C:\Users\maryc\Downloads\881project\stylishedrobot\milo.png,ok
stylized,C:\Users\maryc\Downloads\881project\stylishedrobot\romeo.png,no_face
stylized,C:\Users\maryc\Downloads\881project\stylishedrobot\seer.png,no_face
stylized,C:\Users\maryc\Downloads\881project\stylishedrobot\topio.png,no_face
stylized,C:\Users\maryc\Downloads\881project\stylishedrobot\waseda flutist.png,no_face
stylized,C:\Users\maryc\Downloads\881project\stylishedrobot\zeno.png,no_face
human_conventional,C:\Users\maryc\Downloads\881project\conventionalfaces\human_10.png,ok
human_conventional,C:\Users\maryc\Downloads\881project\conventionalfaces\human_100.png,no_face
human_conventional,C:\Users\maryc\Downloads\881project\conventionalfaces\human_101.png,ok
human_conventional,C:\Users\maryc\Downloads\881project\conventionalfaces\human_102.png,ok
human_conventional,C:\Users\maryc\Downloads\881project\conventionalfaces\human_103.png,ok
human_conventional,C:\Users\maryc\Downloads\881project\conventionalfaces\human_104.png,no_face
human_conventional,C:\Users\maryc\Downloads\881project\conventionalfaces\human_105.png,no_face
