group,path,status
uncanny,C:\Users\maryc\Downloads\881project\uncannyrobot\bina48.png,ok
uncanny,C:\Users\maryc\Downloads\881project\uncannyrobot\erica.jpg,ok
uncanny,C:\Users\maryc\Downloads\881project\uncannyrobot\geminoid H1-4.jpg,ok
uncanny,C:\Users\maryc\Downloads\881project\uncannyrobot\han.png,ok
uncanny,C:\Users\maryc\Downloads\881project\uncannyrobot\jiajia.png,ok
uncanny,C:\Users\maryc\Downloads\881project\uncannyrobot\kaspar.jpg,ok
uncanny,C:\Users\maryc\Downloads\881project\uncannyrobot\kodomoroid.jpg,ok
uncanny,C:\Users\maryc\Downloads\881project\uncannyrobot\nadine.png,ok
uncanny,C:\Users\maryc\Downloads\881project\uncannyrobot\otonaroid.jpg,ok
uncanny,C:\Users\maryc\Downloads\881project\uncannyrobot\sophia.png,ok
stylized,C:\Users\maryc\Downloads\881project\stylishedrobot\albert einstein hubo.png,ok
stylized,C:\Users\maryc\Downloads\881project\stylishedrobot\alter.png,ok
stylized,C:\Users\maryc\Downloads\881project\stylishedrobot\kengoro.png,ok
stylized,C:\Users\maryc\Downloads\881project\stylishedrobot\kojiro.png,ok
stylized,C:\Users\maryc\Downloads\881project\stylishedrobot\milo.png,ok
stylized,C:\Users\maryc\Downloads\881project\stylishedrobot\romeo.png,ok
stylized,C:\Users\maryc\Downloads\881project\stylishedrobot\topio.png,ok
human_conventional,C:\Users\maryc\Downloads\881project\conventionalfaces\human_10.png,ok
human_conventional,C:\Users\maryc\Downloads\881project\conventionalfaces\human_101.png,ok
human_conventional,C:\Users\maryc\Downloads\881project\conventionalfaces\human_102.png,ok
human_conventional,C:\Users\maryc\Downloads\881project\conventionalfaces\human_103.png,ok
human_conventional,C:\Users\maryc\Downloads\881project\conventionalfaces\human_109.png,ok
human_conventional,C:\Users\maryc\Downloads\881project\conventionalfaces\human_114.png,ok
human_conventional,C:\Users\maryc\Downloads\881project\conventionalfaces\human_115.png,ok
human_conventional,C:\Users\maryc\Downloads\881project\conventionalfaces\human_116.png,ok
human_conventional,C:\Users\maryc\Downloads\881project\conventionalfaces\human_125.png,ok
human_conventional,C:\Users\maryc\Downloads\881project\conventionalfaces\human_131.png,ok
human_conventional,C:\Users\maryc\Downloads\881project\conventionalfaces\human_135.png,ok
human_conventional,C:\Users\maryc\Downloads\881project\conventionalfaces\human_136.png,ok
