group,path,status
uncanny,C:\Users\maryc\Downloads\881project\uncannyrobot\bina48.png,no_face_after_preprocess
uncanny,C:\Users\maryc\Downloads\881project\uncannyrobot\erica.jpg,no_face_after_preprocess
uncanny,C:\Users\maryc\Downloads\881project\uncannyrobot\geminoid H1-4.jpg,no_face_after_preprocess
uncanny,C:\Users\maryc\Downloads\881project\uncannyrobot\han.png,no_face_after_preprocess
uncanny,C:\Users\maryc\Downloads\881project\uncannyrobot\jiajia.png,no_face_after_preprocess
uncanny,C:\Users\maryc\Downloads\881project\uncannyrobot\kaspar.jpg,no_face_after_preprocess
uncanny,C:\Users\maryc\Downloads\881project\uncannyrobot\kodomoroid.jpg,no_face_after_preprocess
uncanny,C:\Users\maryc\Downloads\881project\uncannyrobot\nadine.png,no_face_after_preprocess
uncanny,C:\Users\maryc\Downloads\881project\uncannyrobot\otonaroid.jpg,no_face_after_preprocess
uncanny,C:\Users\maryc\Downloads\881project\uncannyrobot\sophia.png,no_face_after_preprocess
stylized,C:\Users\maryc\Downloads\881project\stylishedrobot\albert einstein hubo.png,no_face_after_preprocess
stylized,C:\Users\maryc\Downloads\881project\stylishedrobot\alter.png,no_face_after_preprocess
stylized,C:\Users\maryc\Downloads\881project\stylishedrobot\cb2.png,no_face
stylized,C:\Users\maryc\Downloads\881project\stylishedrobot\furhat.png,no_face
stylized,C:\Users\maryc\Downloads\881project\stylishedrobot\kengoro.png,no_face_after_preprocess
stylized,C:\Users\maryc\Downloads\881project\stylishedrobot\kojiro.png,no_face_after_preprocess
stylized,C:\Users\maryc\Downloads\881project\stylishedrobot\milo.png,no_face_after_preprocess
stylized,C:\Users\maryc\Downloads\881project\stylishedrobot\romeo.png,no_face_after_preprocess
stylized,C:\Users\maryc\Downloads\881project\stylishedrobot\seer.png,no_face
stylized,C:\Users\maryc\Downloads\881project\stylishedrobot\topio.png,no_face_after_preprocess
stylized,C:\Users\maryc\Downloads\881project\stylishedrobot\waseda flutist.png,no_face
stylized,C:\Users\maryc\Downloads\881project\stylishedrobot\zeno.png,no_face
human_conventional,C:\Users\maryc\Downloads\881project\conventionalfaces\human_261.png,no_face
human_conventional,C:\Users\maryc\Downloads\881project\conventionalfaces\human_126.png,no_face
human_conventional,C:\Users\maryc\Downloads\881project\conventionalfaces\human_105.png,no_face
human_conventional,C:\Users\maryc\Downloads\881project\conventionalfaces\human_35.png,no_face
human_conventional,C:\Users\maryc\Downloads\881project\conventionalfaces\human_167.png,no_face
human_conventional,C:\Users\maryc\Downloads\881project\conventionalfaces\human_16.png,no_face
human_conventional,C:\Users\maryc\Downloads\881project\conventionalfaces\human_155.png,no_face_after_preprocess
human_conventional,C:\Users\maryc\Downloads\881project\conventionalfaces\human_133.png,no_face
human_conventional,C:\Users\maryc\Downloads\881project\conventionalfaces\human_34.png,no_face
human_conventional,C:\Users\maryc\Downloads\881project\conventionalfaces\human_124.png,no_face
human_conventional,C:\Users\maryc\Downloads\881project\conventionalfaces\human_270.png,no_face
human_conventional,C:\Users\maryc\Downloads\881project\conventionalfaces\human_96.png,no_face_after_preprocess
human_conventional,C:\Users\maryc\Downloads\881project\conventionalfaces\human_78.png,no_face
human_conventional,C:\Users\maryc\Downloads\881project\conventionalfaces\human_234.png,no_face_after_preprocess
human_conventional,C:\Users\maryc\Downloads\881project\conventionalfaces\human_120.png,no_face
human_conventional,C:\Users\maryc\Downloads\881project\conventionalfaces\human_245.png,no_face_after_preprocess
human_conventional,C:\Users\maryc\Downloads\881project\conventionalfaces\human_202.png,no_face_after_preprocess
