iteration,kernel,C,pred_unconventional_count,pred_conventional_count,prop_pred_unconventional
0,linear,1.0,2,5,0.2857142857142857
1,linear,1.0,3,4,0.42857142857142855
2,linear,1.0,1,6,0.14285714285714285
3,linear,1.0,0,7,0.0
4,linear,1.0,4,3,0.5714285714285714
5,linear,1.0,1,6,0.14285714285714285
6,linear,1.0,7,0,1.0
7,linear,1.0,0,7,0.0
8,linear,1.0,6,1,0.8571428571428571
9,linear,1.0,0,7,0.0
10,linear,1.0,1,6,0.14285714285714285
11,linear,1.0,0,7,0.0
12,linear,1.0,0,7,0.0
13,linear,1.0,1,6,0.14285714285714285
14,linear,1.0,2,5,0.2857142857142857
15,linear,1.0,2,5,0.2857142857142857
16,linear,1.0,2,5,0.2857142857142857
17,linear,1.0,2,5,0.2857142857142857
18,linear,1.0,1,6,0.14285714285714285
19,linear,1.0,0,7,0.0
20,linear,1.0,4,3,0.5714285714285714
21,linear,1.0,3,4,0.42857142857142855
22,linear,1.0,3,4,0.42857142857142855
23,linear,1.0,2,5,0.2857142857142857
24,linear,1.0,4,3,0.5714285714285714
25,linear,1.0,3,4,0.42857142857142855
26,linear,1.0,4,3,0.5714285714285714
27,linear,1.0,0,7,0.0
28,linear,1.0,6,1,0.8571428571428571
29,linear,1.0,2,5,0.2857142857142857
30,linear,1.0,4,3,0.5714285714285714
31,linear,1.0,2,5,0.2857142857142857
32,linear,1.0,6,1,0.8571428571428571
33,linear,1.0,0,7,0.0
34,linear,1.0,0,7,0.0
35,linear,1.0,4,3,0.5714285714285714
36,linear,1.0,2,5,0.2857142857142857
37,linear,1.0,0,7,0.0
38,linear,1.0,6,1,0.8571428571428571
39,linear,1.0,4,3,0.5714285714285714
40,linear,1.0,5,2,0.7142857142857143
41,linear,1.0,0,7,0.0
42,linear,1.0,4,3,0.5714285714285714
43,linear,1.0,4,3,0.5714285714285714
44,linear,1.0,0,7,0.0
45,linear,1.0,3,4,0.42857142857142855
46,linear,1.0,3,4,0.42857142857142855
47,linear,1.0,3,4,0.42857142857142855
48,linear,1.0,4,3,0.5714285714285714
49,linear,1.0,4,3,0.5714285714285714
50,linear,1.0,0,7,0.0
51,linear,1.0,2,5,0.2857142857142857
52,linear,1.0,0,7,0.0
53,linear,1.0,5,2,0.7142857142857143
54,linear,1.0,3,4,0.42857142857142855
55,linear,1.0,3,4,0.42857142857142855
56,linear,1.0,0,7,0.0
57,linear,1.0,0,7,0.0
58,linear,1.0,3,4,0.42857142857142855
59,linear,1.0,2,5,0.2857142857142857
60,linear,1.0,2,5,0.2857142857142857
61,linear,1.0,4,3,0.5714285714285714
62,linear,1.0,3,4,0.42857142857142855
63,linear,1.0,4,3,0.5714285714285714
64,linear,1.0,0,7,0.0
65,linear,1.0,4,3,0.5714285714285714
66,linear,1.0,2,5,0.2857142857142857
67,linear,1.0,3,4,0.42857142857142855
68,linear,1.0,2,5,0.2857142857142857
69,linear,1.0,2,5,0.2857142857142857
70,linear,1.0,3,4,0.42857142857142855
71,linear,1.0,1,6,0.14285714285714285
72,linear,1.0,0,7,0.0
73,linear,1.0,1,6,0.14285714285714285
74,linear,1.0,0,7,0.0
75,linear,1.0,3,4,0.42857142857142855
76,linear,1.0,4,3,0.5714285714285714
77,linear,1.0,2,5,0.2857142857142857
78,linear,1.0,0,7,0.0
79,linear,1.0,3,4,0.42857142857142855
